,zero,one,two,three,four,five,six,seven,eight,nine,nums,chars,upper,lower,special,strength
236,0,1,0,1,0,1,0,0,0,0,3,7,0,7,0,1
237,1,0,0,0,0,0,0,0,1,1,3,7,0,7,0,1
238,0,0,0,0,1,0,0,0,0,0,1,8,0,8,0,1
239,0,0,1,0,0,1,0,0,0,0,2,14,11,3,0,2
240,0,0,0,0,0,0,1,1,1,0,3,12,8,4,0,2
241,1,0,0,0,1,0,0,0,0,0,2,8,0,8,0,1
242,0,0,1,0,0,0,0,1,0,0,2,17,1,16,0,2
243,2,1,1,0,0,0,1,0,0,1,6,4,0,4,0,1
244,0,0,1,0,0,0,0,0,0,1,2,11,0,11,0,1
245,0,1,0,0,0,0,0,0,0,0,1,6,0,6,0,0
246,1,3,0,1,1,1,0,0,1,0,8,1,0,1,0,1
247,0,0,1,0,0,0,0,0,0,1,2,7,0,7,0,1
248,0,0,1,1,2,0,0,0,0,0,4,6,0,6,0,1
249,0,0,0,0,0,0,0,0,0,1,1,15,8,7,0,2
250,1,1,0,0,0,1,0,0,0,0,3,11,3,8,0,2
251,2,1,1,1,2,1,0,0,1,0,9,3,0,3,0,1
252,1,2,0,0,0,0,0,0,1,0,4,5,0,5,0,1
253,0,1,0,0,0,1,0,0,0,1,3,5,0,5,0,1
254,1,0,0,0,0,0,0,0,0,0,1,9,0,9,0,1
255,1,0,0,1,0,0,0,1,0,0,3,6,0,6,0,1
256,0,0,0,0,1,0,1,0,1,0,3,5,0,5,0,1
257,0,0,2,1,1,1,0,3,1,0,9,5,0,5,2,2
258,0,0,0,0,0,0,0,1,0,1,2,7,0,7,0,1
259,1,0,3,0,0,1,1,0,1,0,7,5,0,5,0,1
260,0,0,0,0,0,1,1,0,2,0,4,6,0,6,0,1
261,0,0,0,0,0,0,0,1,1,1,3,6,0,6,0,1
262,0,1,1,0,0,0,0,0,0,0,2,14,6,8,0,2
263,1,0,0,1,0,0,0,0,0,0,2,9,0,9,0,1
264,0,1,0,0,0,0,0,0,0,0,1,7,0,7,0,1
265,0,2,0,1,0,0,0,0,0,0,3,13,10,3,0,2
266,0,0,1,0,0,0,0,0,0,1,2,14,6,8,0,2
267,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0,1
268,2,0,0,1,1,1,0,0,4,1,10,2,0,2,0,1
269,0,1,1,1,0,0,0,0,0,0,3,10,0,10,0,1
270,0,1,1,1,1,0,0,0,0,0,4,9,0,9,0,1
271,0,1,1,0,0,0,0,0,0,0,2,4,0,4,0,0
272,3,0,0,1,0,0,0,1,0,0,5,7,1,6,3,2
273,0,0,0,0,0,0,1,0,0,0,1,8,8,0,0,1
274,0,2,0,0,0,0,0,0,0,0,2,8,0,8,0,1
275,0,0,0,0,0,0,1,0,0,0,1,15,8,7,0,2
276,0,1,0,0,0,0,0,0,0,0,1,12,0,12,0,1
277,1,0,0,0,0,1,0,0,0,0,2,4,0,4,0,0
278,0,0,0,0,0,0,0,0,0,0,0,11,0,11,1,1
279,0,0,1,0,1,0,1,0,0,0,3,13,7,6,0,2
280,0,0,1,0,0,1,0,0,0,1,3,5,0,5,0,1
281,1,0,1,1,0,0,0,0,0,0,3,5,0,5,0,1
282,0,0,0,0,0,1,0,0,0,1,2,4,0,4,0,0
283,0,0,0,0,0,1,0,1,0,0,2,8,0,8,0,1
284,0,0,0,0,0,0,0,2,0,0,2,6,0,6,0,1
285,0,0,1,0,0,1,0,0,0,0,2,5,0,5,0,0
286,0,0,2,2,0,2,0,1,0,0,7,6,0,6,0,1
287,0,0,1,0,0,0,0,0,0,0,1,15,9,6,0,2
288,0,1,0,1,0,0,0,1,0,0,3,6,0,6,0,1
289,0,0,0,1,0,1,0,0,1,0,3,5,0,5,0,1
290,0,0,0,0,0,0,1,0,1,0,2,8,0,8,0,1
291,0,1,2,0,0,0,0,0,0,1,4,4,0,4,0,1
292,0,1,0,0,0,0,0,0,1,0,2,10,0,10,0,1
